2025-04-25T19:35:52.334922+0530 INFO Initializing QueryRetrieval...
2025-04-25T19:35:56.404772+0530 INFO QueryRetrieval initialized successfully.
2025-04-25T19:35:56.407271+0530 INFO Total stored documents: 0
2025-04-25T19:36:43.597961+0530 INFO Received request to ingest PDFs from folder: D:\NCERT\CLASS9\eCONOMICS
2025-04-25T19:36:43.601370+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c4.pdf
2025-04-25T19:36:54.319718+0530 DEBUG Stored chunk 2 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.379892+0530 DEBUG Stored chunk 3 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.437881+0530 DEBUG Stored chunk 4 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.502705+0530 DEBUG Stored chunk 5 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.574690+0530 DEBUG Stored chunk 6 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.661919+0530 DEBUG Stored chunk 7 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.738205+0530 DEBUG Stored chunk 8 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.799938+0530 DEBUG Stored chunk 9 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.868995+0530 DEBUG Stored chunk 10 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.918389+0530 DEBUG Stored chunk 11 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:54.997263+0530 DEBUG Stored chunk 12 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.079055+0530 DEBUG Stored chunk 13 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.167964+0530 DEBUG Stored chunk 14 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.234423+0530 DEBUG Stored chunk 15 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.302253+0530 DEBUG Stored chunk 16 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.366682+0530 DEBUG Stored chunk 17 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.418415+0530 DEBUG Stored chunk 18 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.531100+0530 DEBUG Stored chunk 19 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.609308+0530 DEBUG Stored chunk 20 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.683674+0530 DEBUG Stored chunk 21 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.779966+0530 DEBUG Stored chunk 22 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.828544+0530 DEBUG Stored chunk 23 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.902813+0530 DEBUG Stored chunk 24 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:55.977478+0530 DEBUG Stored chunk 25 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.042303+0530 DEBUG Stored chunk 26 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.129990+0530 DEBUG Stored chunk 27 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.211670+0530 DEBUG Stored chunk 28 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.297247+0530 DEBUG Stored chunk 29 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.365921+0530 DEBUG Stored chunk 30 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.444822+0530 DEBUG Stored chunk 31 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.520955+0530 DEBUG Stored chunk 32 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.615027+0530 DEBUG Stored chunk 33 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.692101+0530 DEBUG Stored chunk 34 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.754393+0530 DEBUG Stored chunk 35 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.786423+0530 DEBUG Stored chunk 36 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.863092+0530 DEBUG Stored chunk 37 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:56.936723+0530 DEBUG Stored chunk 38 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.024402+0530 DEBUG Stored chunk 39 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.074919+0530 DEBUG Stored chunk 40 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.156846+0530 DEBUG Stored chunk 41 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.230394+0530 DEBUG Stored chunk 42 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:57.315492+0530 DEBUG Stored chunk 43 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
